ensg,abundance
ENSG00000232848,21160
ENSG00000229305,7282
ENSG00000227634,35674
ENSG00000200975,300
ENSG00000233645,1636
ENSG00000251977,209
ENSG00000162426,8612793
ENSG00000252254,8186
ENSG00000142599,243206366
ENSG00000232912,453565
ENSG00000221083,9293
ENSG00000270282,15393
ENSG00000234619,20712
ENSG00000224315,23197
ENSG00000222511,962
ENSG00000226545,4535
ENSG00000228423,6418
ENSG00000229716,3856
ENSG00000074800,722904620
ENSG00000274258,5697
ENSG00000236269,163149
ENSG00000230679,173785
ENSG00000201725,1583
ENSG00000238249,27754
ENSG00000232208,16109
ENSG00000232663,1986
ENSG00000131686,2160262
ENSG00000265141,4861
ENSG00000197241,30593
ENSG00000142583,17060574
ENSG00000252404,716
ENSG00000180758,19715792
ENSG00000228526,12703095
ENSG00000234546,696778
ENSG00000281937,148917
ENSG00000049239,142462267
ENSG00000171621,47821955
ENSG00000252956,738
ENSG00000235263,370881
ENSG00000171612,13245110
ENSG00000231181,182671
ENSG00000188807,22529562
ENSG00000171608,41336778
ENSG00000179840,285175
ENSG00000233268,2918
ENSG00000231789,727860
ENSG00000171603,222738855
ENSG00000271264,1384
ENSG00000280113,66967
ENSG00000178585,61991615
ENSG00000162441,16162342
ENSG00000228150,91574
ENSG00000173614,9381003
ENSG00000202415,55085
ENSG00000283611,18236
ENSG00000265521,88
ENSG00000162444,21362014
ENSG00000130939,74565832
ENSG00000224340,8462
ENSG00000233623,31504
ENSG00000201746,6875
ENSG00000054523,171396383
ENSG00000264881,197
ENSG00000199562,10581
ENSG00000142657,137472721
ENSG00000271989,102432
ENSG00000175279,7746654
ENSG00000241563,2618141
ENSG00000160049,36480405
ENSG00000142655,23597351
ENSG00000243267,35627
ENSG00000130940,33570377
ENSG00000272078,4464225
ENSG00000225158,272
ENSG00000175262,974164
ENSG00000215785,42066
ENSG00000120948,175999651
ENSG00000009724,6926785
ENSG00000271895,9607354
ENSG00000116649,60283104
ENSG00000171824,65264999
ENSG00000226849,4698083
ENSG00000230337,174853
ENSG00000198793,77419623
ENSG00000225602,15649
ENSG00000253086,441
ENSG00000171819,39105559
ENSG00000207451,1102
ENSG00000238173,2900
ENSG00000120942,18346790
ENSG00000238199,24651
ENSG00000224338,1025
ENSG00000204624,2914467
ENSG00000235643,57398
ENSG00000116661,39419805
ENSG00000132879,64962508
ENSG00000116663,9913019
ENSG00000116670,20982920
ENSG00000162490,1200046
ENSG00000177674,41124670
ENSG00000215910,1458901
ENSG00000177553,22690
ENSG00000177000,48427686
ENSG00000011021,57317528
ENSG00000242349,909273
ENSG00000175206,414515048
ENSG00000120937,49964040
ENSG00000224904,105632
ENSG00000199347,22768
ENSG00000201801,6075
ENSG00000116685,63866016
ENSG00000083444,95355756
ENSG00000116688,185877853
ENSG00000270914,188
ENSG00000116691,31455890
ENSG00000202461,31720
ENSG00000276869,460
ENSG00000243539,707
ENSG00000120949,4610446
ENSG00000201135,183
ENSG00000227875,3526
ENSG00000283789,220
ENSG00000028137,103206156
ENSG00000263676,362
ENSG00000225196,4547
ENSG00000252969,1035
ENSG00000048707,131760316
ENSG00000239149,172931
ENSG00000229484,62572
ENSG00000162496,91666005
ENSG00000221340,31455
ENSG00000276830,1018
ENSG00000272482,464563
ENSG00000204518,139402
ENSG00000226166,1168
ENSG00000188984,659744
ENSG00000157330,1368192
ENSG00000116726,10435
ENSG00000116721,16557
ENSG00000228338,45567
ENSG00000239810,21802
ENSG00000231103,1947
ENSG00000179172,48065
ENSG00000120952,16692
ENSG00000243073,2418
ENSG00000187545,10370
ENSG00000204510,2302
ENSG00000207434,38
ENSG00000234064,379
ENSG00000232423,1388
ENSG00000274178,2285
ENSG00000274764,967
ENSG00000277058,7776
ENSG00000229571,129
ENSG00000277862,283
ENSG00000236179,570
ENSG00000275774,12946
ENSG00000229978,250
ENSG00000233336,88
ENSG00000280267,163
ENSG00000179412,5023
ENSG00000204505,976
ENSG00000279169,1601
ENSG00000279804,4120
ENSG00000250894,2651
ENSG00000270601,770
ENSG00000231219,262
ENSG00000207511,27
ENSG00000182330,3905
ENSG00000237700,5632
ENSG00000204501,2999
ENSG00000228229,303
ENSG00000204481,13619
ENSG00000204480,5052
ENSG00000204479,3647
ENSG00000204478,6622
ENSG00000162494,2925270
ENSG00000259961,27192
ENSG00000215909,756
ENSG00000162493,26202506
ENSG00000222952,193
ENSG00000237445,13870
ENSG00000253085,1118
ENSG00000116731,81163167
ENSG00000189337,36631208
ENSG00000252151,51
ENSG00000231606,20542
ENSG00000234593,18565
ENSG00000235829,3632
ENSG00000175147,3871070
ENSG00000171729,12919155
ENSG00000204464,19184
ENSG00000215720,16210
ENSG00000278480,24796
ENSG00000142621,2878751
ENSG00000233485,439506
ENSG00000236045,43912
ENSG00000228140,916312
ENSG00000142634,101646567
ENSG00000162438,154287673
ENSG00000142615,83974815
ENSG00000215704,16525518
ENSG00000132906,24181401
ENSG00000116138,22493259
ENSG00000251866,875
ENSG00000272510,53461
ENSG00000116771,2897426
ENSG00000237301,245273
ENSG00000235084,346740
ENSG00000252417,22
ENSG00000236500,2399
ENSG00000197312,52611334
ENSG00000271742,36056
ENSG00000116786,139604115
ENSG00000237938,832392
ENSG00000162461,9353352
ENSG00000162460,885940
ENSG00000224459,243591
ENSG00000162458,101366926
ENSG00000224321,121909
ENSG00000233954,6034755
ENSG00000178715,277747
ENSG00000179743,5186571
ENSG00000065526,143238517
ENSG00000270620,7548
ENSG00000116809,40415183
ENSG00000234607,16286
ENSG00000231353,504
ENSG00000275503,628
ENSG00000224966,1988
ENSG00000183888,838946
ENSG00000173641,399270533
ENSG00000186510,6587246
ENSG00000232456,612274
ENSG00000184908,4054114
ENSG00000185519,4381548
ENSG00000142627,50161232
ENSG00000227959,340738
ENSG00000224621,133652
ENSG00000142632,15143091
ENSG00000237276,1158297
ENSG00000132881,3563103
ENSG00000233929,178913
ENSG00000037637,45702836
ENSG00000055070,86808155
ENSG00000226457,36453
ENSG00000187144,564506
ENSG00000157191,51000047
ENSG00000226029,3135327
ENSG00000080947,11893368
ENSG00000206652,2264
ENSG00000261135,217809
ENSG00000224174,18495
ENSG00000233421,395548
ENSG00000277344,6
ENSG00000268991,10777
ENSG00000225710,13346
ENSG00000219481,20686722
ENSG00000271732,31958
ENSG00000215908,49141686
ENSG00000186301,10040498
ENSG00000282143,4308
ENSG00000207513,79
ENSG00000237847,526
ENSG00000280114,72392
ENSG00000236698,153760
ENSG00000268869,266804
ENSG00000279151,7218
ENSG00000279132,658
ENSG00000282740,744
ENSG00000207389,123
ENSG00000227684,9616
ENSG00000186715,6400664
ENSG00000223643,1388
ENSG00000230239,14207
ENSG00000263811,31
ENSG00000228549,758810
ENSG00000238142,1023565
ENSG00000235241,416325
ENSG00000207005,3678
ENSG00000272426,93027
ENSG00000058453,54168609
ENSG00000117122,12177694
ENSG00000226526,40915
ENSG00000159363,60266415
ENSG00000117118,65558504
ENSG00000117115,85905402
ENSG00000204362,130619
ENSG00000282843,1685
ENSG00000142623,20744820
ENSG00000142619,2108568
ENSG00000266634,1031
ENSG00000159339,16125680
ENSG00000276747,45682
ENSG00000179051,59780691
ENSG00000074964,103279361
ENSG00000236648,14954
ENSG00000117148,307595
ENSG00000261781,24282
ENSG00000117154,11590646
ENSG00000280222,323862
ENSG00000230035,22117
ENSG00000225387,8639
ENSG00000179023,1773176
ENSG00000235282,1041
ENSG00000225478,211
ENSG00000009709,618725
ENSG00000179002,40446
ENSG00000159423,56741250
ENSG00000265606,96
ENSG00000221662,51
ENSG00000169991,91379747
ENSG00000272084,1908905
ENSG00000127481,261232281
ENSG00000230424,58933
ENSG00000127463,50547742
ENSG00000053372,29180181
ENSG00000211454,3346604
ENSG00000162482,10686997
ENSG00000270728,506887
ENSG00000053371,31744552
ENSG00000200403,9274
ENSG00000040487,17283626
ENSG00000077549,219531398
ENSG00000240490,8341
ENSG00000201609,928
ENSG00000235185,14912
ENSG00000173436,59477957
ENSG00000226396,1590390
ENSG00000158747,206076566
ENSG00000158748,334007
ENSG00000162542,20649596
ENSG00000178828,710263
ENSG00000235434,36609
ENSG00000169914,24834584
ENSG00000188784,21258
ENSG00000242688,718
ENSG00000188257,170792470
ENSG00000127472,13694446
ENSG00000117215,332879
ENSG00000158786,2553297
ENSG00000227066,207356
ENSG00000187980,326071
ENSG00000225986,1419852
ENSG00000162543,8977234
ENSG00000228105,18216
ENSG00000158816,1344008
ENSG00000226664,2070
ENSG00000236963,348865
ENSG00000226487,2285
ENSG00000162545,109619634
ENSG00000090432,32282203
ENSG00000215520,8543
ENSG00000183114,4370478
ENSG00000158825,15789693
ENSG00000158828,44742114
ENSG00000117242,3401742
ENSG00000244038,128344177
ENSG00000117245,9053220
ENSG00000235432,1250
ENSG00000189410,8255653
ENSG00000233069,81885
ENSG00000127483,240916199
ENSG00000075151,100194654
ENSG00000251914,112
ENSG00000221808,833
ENSG00000233072,27058
ENSG00000236073,2103
ENSG00000235112,5666
ENSG00000117298,202138704
ENSG00000236936,61052
ENSG00000231105,543682
ENSG00000236216,9167
ENSG00000228823,6976
ENSG00000236009,2704
ENSG00000227001,341239
ENSG00000187952,443577
ENSG00000186543,8804
ENSG00000142794,8182750
ENSG00000176378,535
ENSG00000162551,77842912
ENSG00000233431,75968
ENSG00000076864,101750838
ENSG00000090686,75791022
ENSG00000231978,3137
ENSG00000187942,4737020
ENSG00000142798,424736898
ENSG00000232037,33909
ENSG00000283234,15009
ENSG00000219073,193254618
ENSG00000273610,235121
ENSG00000201919,28166
ENSG00000142789,410160626
ENSG00000278124,545853
ENSG00000201273,70555
ENSG00000228397,52671
ENSG00000218510,12978666
ENSG00000070831,161717124
ENSG00000230068,52488
ENSG00000271428,48144
ENSG00000271840,312845
ENSG00000162552,9056132
ENSG00000266564,90
ENSG00000234397,11744
ENSG00000279625,3927
ENSG00000184677,58811609
ENSG00000237200,111879
ENSG00000070886,1073372
ENSG00000276835,304
ENSG00000173372,58696996
ENSG00000159189,60186574
ENSG00000173369,86380574
ENSG00000133216,10058461
ENSG00000265422,134
ENSG00000225952,1839
ENSG00000264014,48
ENSG00000215906,21029
ENSG00000227868,800466
ENSG00000004487,66940528
ENSG00000240553,9210
ENSG00000263793,72
ENSG00000266802,109
ENSG00000169641,46636094
ENSG00000229010,24167
ENSG00000206935,687
ENSG00000252578,914
ENSG00000179546,721050
ENSG00000215381,31775
ENSG00000261326,20017200
ENSG00000125944,112739886
ENSG00000125945,25185179
ENSG00000249087,8683870
ENSG00000271420,327013
ENSG00000204219,50207958
ENSG00000232482,15908
ENSG00000088280,59319308
ENSG00000007968,5763980
ENSG00000235052,96063
ENSG00000117318,105550404
ENSG00000197880,182278
ENSG00000229239,3227
ENSG00000142676,570436391
ENSG00000011007,44773406
ENSG00000236810,847240
ENSG00000057757,60518079
ENSG00000011009,43211977
ENSG00000117308,20004089
ENSG00000117305,34773427
ENSG00000179163,27006794
ENSG00000188822,1464360
ENSG00000229106,86397
ENSG00000232557,519
ENSG00000264926,59
ENSG00000230228,7926
ENSG00000189266,72827752
ENSG00000188529,97191085
ENSG00000215905,444
ENSG00000225315,31346
ENSG00000142661,53742218
ENSG00000230703,148
ENSG00000142677,14051198
ENSG00000185436,6778962
ENSG00000230023,103709
ENSG00000232298,43696
ENSG00000158055,17744867
ENSG00000001460,11021510
ENSG00000001461,47212482
ENSG00000117602,19199746
ENSG00000264443,34982
ENSG00000184454,9939859
ENSG00000227312,5476
ENSG00000239106,163
ENSG00000133226,148369582
ENSG00000169504,331447904
ENSG00000238482,1246
ENSG00000020633,20243260
ENSG00000278034,76
ENSG00000229162,66701
ENSG00000261025,8375
ENSG00000264371,68
ENSG00000233755,27938
ENSG00000233419,5961
ENSG00000231953,22259
ENSG00000117614,53265484
ENSG00000117616,143034595
ENSG00000272432,222607
ENSG00000261349,257557
ENSG00000187010,796449
ENSG00000224183,180012
ENSG00000259984,36
ENSG00000183726,83895100
ENSG00000188672,1020919
ENSG00000238084,58271
ENSG00000204178,32526605
ENSG00000157978,46526847
ENSG00000225643,368474
ENSG00000117643,31306312
ENSG00000233478,279543
ENSG00000162430,109753197
ENSG00000228172,785543
ENSG00000117640,75364080
ENSG00000127423,1471974
ENSG00000236528,14545
ENSG00000182749,17850780
ENSG00000207302,740
ENSG00000117632,124769963
ENSG00000229786,31591
ENSG00000223624,8315
ENSG00000283938,199
ENSG00000158006,16292402
ENSG00000207237,1027
ENSG00000252190,714
ENSG00000252691,176
ENSG00000158008,11847922
ENSG00000158014,4393322
ENSG00000284309,119090
ENSG00000158022,84160422
ENSG00000175087,9273789
ENSG00000197245,7376924
ENSG00000282872,11353
ENSG00000236782,231686
ENSG00000142684,1206
ENSG00000142675,16583097
ENSG00000188782,613049
ENSG00000236155,1403624
ENSG00000278572,8241
ENSG00000130695,24134801
ENSG00000270733,40526
ENSG00000142669,128002185
ENSG00000158062,32662854
ENSG00000169442,13679153
ENSG00000176092,17190673
ENSG00000225854,98758
ENSG00000176083,3257226
ENSG00000131914,484351
ENSG00000117682,41633305
ENSG00000223583,81745
ENSG00000225891,222722
ENSG00000198830,131882668
ENSG00000224129,9701
ENSG00000117676,51602108
ENSG00000238705,57
ENSG00000243905,681
ENSG00000252802,109
ENSG00000252429,20
ENSG00000229247,476
ENSG00000238316,98
ENSG00000235069,293
ENSG00000260063,574061
ENSG00000117713,108963797
ENSG00000060642,15417145
ENSG00000241188,13130
ENSG00000204160,58991952
ENSG00000175793,161686623
ENSG00000142751,28697311
ENSG00000198746,12256479
ENSG00000090273,106383781
ENSG00000131910,2421462
ENSG00000175707,5414103
ENSG00000172746,24862
ENSG00000224064,7185
ENSG00000225294,13895
ENSG00000253368,27080174
ENSG00000158246,47576256
ENSG00000090020,44127326
ENSG00000229985,5465
ENSG00000214973,46137
ENSG00000225159,155565
ENSG00000225990,893
ENSG00000224311,15034
ENSG00000142784,102062332
ENSG00000252098,2704
ENSG00000243659,82658
ENSG00000186501,42208214
ENSG00000206888,16407
ENSG00000241547,315644
ENSG00000142765,40030782
ENSG00000142733,103724916
ENSG00000142748,26101191
ENSG00000174950,2191884
ENSG00000231207,6444
ENSG00000181773,2158179
ENSG00000158195,190067724
ENSG00000241169,6319
ENSG00000237429,111428
ENSG00000126705,86083167
ENSG00000000938,74701265
ENSG00000235912,120327
ENSG00000233975,30740
ENSG00000126709,52465564
ENSG00000225886,152771
ENSG00000206767,114
ENSG00000226662,1664
ENSG00000207095,104
ENSG00000009780,16752905
ENSG00000231344,59981
ENSG00000230833,11595
ENSG00000117758,76429458
ENSG00000269971,68183
ENSG00000270031,242017
ENSG00000223062,1202
ENSG00000117751,33875856
ENSG00000252947,4058
ENSG00000130775,47711670
ENSG00000117748,37530110
ENSG00000130768,2561791
ENSG00000227050,7721
ENSG00000158156,12986736
ENSG00000158161,29661419
ENSG00000238231,125638
ENSG00000240750,12182
ENSG00000228589,459913
ENSG00000228943,836
ENSG00000214812,12054
ENSG00000253005,1653
ENSG00000169403,17498198
ENSG00000126698,77658969
ENSG00000130770,72227766
ENSG00000270605,3358052
ENSG00000271398,17620
ENSG00000130766,24072622
ENSG00000130772,9063369
ENSG00000204138,46380077
ENSG00000206779,366
ENSG00000229820,15177
ENSG00000221216,5799
ENSG00000180198,24782513
ENSG00000274266,288098
ENSG00000200087,450406
ENSG00000231468,42129
ENSG00000279443,271881
ENSG00000180098,17304689
ENSG00000197989,14340484
ENSG00000221539,2220
ENSG00000278274,952029
ENSG00000273544,392155
ENSG00000274582,0
ENSG00000120656,17354216
ENSG00000188060,1479100
ENSG00000229388,487609
ENSG00000274978,0
ENSG00000162419,13236853
ENSG00000252777,2443
ENSG00000198492,57681583
ENSG00000116329,1339550
ENSG00000233427,17274
ENSG00000199756,284
ENSG00000159023,50023239
ENSG00000225616,16898
ENSG00000206704,140
ENSG00000277958,2509
ENSG00000253304,13124340
ENSG00000225750,5939
ENSG00000116350,132934234
ENSG00000277916,186453
ENSG00000116353,19651733
ENSG00000237934,96970
ENSG00000060656,38130435
ENSG00000230523,23040
ENSG00000225011,685
ENSG00000228176,3519
ENSG00000270927,634
ENSG00000233399,19928
ENSG00000233372,5206
ENSG00000231251,39
ENSG00000236335,9842
ENSG00000231949,266
ENSG00000162510,368906
ENSG00000186056,2462597
ENSG00000162511,201200628
ENSG00000264773,2091
ENSG00000229607,1948
ENSG00000223382,313280
ENSG00000222784,306
ENSG00000235143,14084
ENSG00000162512,129955190
ENSG00000266210,2237
ENSG00000134644,93722586
ENSG00000237329,10222
ENSG00000232768,2173
ENSG00000215900,1842
ENSG00000225142,3464
ENSG00000084628,4889580
ENSG00000060688,23780056
ENSG00000229447,407620
ENSG00000121766,30419680
ENSG00000229044,11612
ENSG00000121769,119353122
ENSG00000168528,45923296
ENSG00000215899,28185
ENSG00000206981,260
ENSG00000260386,73032
ENSG00000265961,114
ENSG00000284543,411811
ENSG00000229167,226078
ENSG00000142910,176798438
ENSG00000121764,359042
ENSG00000162517,70493407
ENSG00000235790,2769096
ENSG00000264078,36413
ENSG00000084636,170898870
ENSG00000121753,42031357
ENSG00000266580,128
ENSG00000254545,2127
ENSG00000134668,5213294
ENSG00000203620,24914
ENSG00000269967,210895
ENSG00000184007,194456514
ENSG00000228634,68722
ENSG00000121774,108272995
ENSG00000203325,52653
ENSG00000121775,13854290
ENSG00000266203,48
ENSG00000276493,2806
ENSG00000025800,86198264
ENSG00000084652,98867562
ENSG00000160050,8121940
ENSG00000224066,279424
ENSG00000160051,4453425
ENSG00000222046,322460
ENSG00000160055,14175022
ENSG00000084623,122762430
ENSG00000220785,23685288
ENSG00000183615,4764482
ENSG00000182866,9369347
ENSG00000277617,1329
ENSG00000252450,224
ENSG00000116478,77453526
ENSG00000175130,97905959
ENSG00000233775,68186
ENSG00000162526,7856640
ENSG00000225828,5147327
ENSG00000160058,96951707
ENSG00000224333,16777
ENSG00000270850,2253
ENSG00000229259,24786
ENSG00000263529,883
ENSG00000273274,965420
ENSG00000160062,10103029
ENSG00000176261,15325188
ENSG00000200591,4011
ENSG00000162521,105896451
ENSG00000162520,7949635
ENSG00000224409,13168
ENSG00000162522,91520688
ENSG00000134684,84480436
ENSG00000116497,37074514
ENSG00000160097,21584397
ENSG00000121905,45218458
ENSG00000121900,24958894
ENSG00000116514,32011538
ENSG00000278966,135899
ENSG00000217644,67652
ENSG00000239670,60357
ENSG00000004455,86995784
ENSG00000276645,9802
ENSG00000236065,117509
ENSG00000142920,14063475
ENSG00000278997,853887
ENSG00000116525,12965372
ENSG00000279179,919905
ENSG00000160094,35653325
ENSG00000270115,135739
ENSG00000184389,102728
ENSG00000225313,7107582
ENSG00000134686,220527403
ENSG00000284154,31759
ENSG00000222112,512767
ENSG00000233246,225951
ENSG00000234512,10429
ENSG00000121903,3014375
ENSG00000235907,55569
ENSG00000121904,5327102
ENSG00000227000,1201
ENSG00000176256,11291903
ENSG00000231163,1237250
ENSG00000201148,66
ENSG00000142698,1191079
ENSG00000270241,1196
ENSG00000207941,73
ENSG00000163866,33832962
ENSG00000189280,10076226
ENSG00000189433,3864781
ENSG00000188910,19292144
ENSG00000255811,1969
ENSG00000187513,31851646
ENSG00000230163,1381527
ENSG00000116544,14421294
ENSG00000241014,6512180
ENSG00000243749,14909100
ENSG00000163867,30768595
ENSG00000233940,2077
ENSG00000197056,9904657
ENSG00000228348,6856
ENSG00000116560,323111873
ENSG00000201868,392
ENSG00000146463,50864332
